frame,time_s,object_id,reference_id,x_relative,y_relative,depth_difference_raw,status,role
45,3.0,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
45,3.0,water-bottle,phone,-0.37556813786862636,-0.08483740426443004,5.895748138427734,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
45,3.0,moisturizer,phone,0.08526485152099161,0.06100516148542523,1.065446376800537,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
46,3.066666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
46,3.066666666666667,water-bottle,phone,-0.36243096630491894,-0.07305963384256908,5.968822956085205,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
46,3.066666666666667,moisturizer,phone,0.08635048419678182,0.06098711540945567,1.1015005111694336,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
47,3.1333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
47,3.1333333333333333,water-bottle,phone,-0.34302473626891816,-0.06123453720798022,5.762988567352295,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
47,3.1333333333333333,moisturizer,phone,0.08791464937057791,0.060785445529908944,1.1277027130126953,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
48,3.2,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
48,3.2,water-bottle,phone,-0.3235396606305734,-0.05078966260343498,5.149376392364502,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
48,3.2,moisturizer,phone,0.09170152740190263,0.060245453187747544,1.1475024223327637,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
49,3.2666666666666666,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
49,3.2666666666666666,water-bottle,phone,-0.3062697822683141,-0.040849888673364476,4.71995735168457,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
49,3.2666666666666666,moisturizer,phone,0.09816533933876337,0.0603756137318634,1.159407615661621,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
50,3.3333333333333335,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
50,3.3333333333333335,water-bottle,phone,-0.29274293421072756,-0.03364219940039792,4.549167633056641,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
50,3.3333333333333335,moisturizer,phone,0.10648377468541836,0.05993138739557691,1.1983628273010254,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
51,3.4,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
51,3.4,water-bottle,phone,-0.28358253070470996,-0.02802801920873066,4.40244722366333,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
51,3.4,moisturizer,phone,0.11291745780859841,0.060051465457344855,1.1578760147094727,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
52,3.466666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
52,3.466666666666667,water-bottle,phone,-0.27631763638009027,-0.023763425293338192,4.3345537185668945,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
52,3.466666666666667,moisturizer,phone,0.11987505537821919,0.058938621357796595,1.123487949371338,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
53,3.533333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
53,3.533333333333333,water-bottle,phone,-0.2731133010367816,-0.01996837652407435,4.173098087310791,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
53,3.533333333333333,moisturizer,phone,0.12799998024895842,0.059376465626155284,1.0678081512451172,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
54,3.6,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
54,3.6,water-bottle,phone,-0.27005857321214716,-0.01698934650050543,4.210174560546875,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
54,3.6,moisturizer,phone,0.13848520491242244,0.060065918165795096,1.0439767837524414,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
55,3.6666666666666665,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
55,3.6666666666666665,water-bottle,phone,-0.26999063413762237,-0.015393397512093787,4.175414085388184,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
55,3.6666666666666665,moisturizer,phone,0.14897142942957542,0.060032573461745065,1.0167336463928223,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
56,3.7333333333333334,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
56,3.7333333333333334,water-bottle,phone,-0.27020281634170246,-0.015209921757883493,4.130859851837158,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
56,3.7333333333333334,moisturizer,phone,0.1584328557544269,0.0602460063051129,0.9960713386535645,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
57,3.8,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
57,3.8,water-bottle,phone,-0.27164314660007544,-0.015145711843702725,4.047521114349365,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
57,3.8,moisturizer,phone,0.16975124759908866,0.05935242133343288,0.9141411781311035,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
58,3.8666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
58,3.8666666666666667,water-bottle,phone,-0.27313972262129566,-0.015397734867879431,4.051007270812988,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
58,3.8666666666666667,moisturizer,phone,0.17999632470806182,0.058850156726477865,0.860562801361084,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
59,3.933333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
59,3.933333333333333,water-bottle,phone,-0.27468724173827025,-0.015601146380185393,4.014514446258545,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
59,3.933333333333333,moisturizer,phone,0.18801212014754298,0.0566943448899615,0.790926456451416,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
60,4.0,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
60,4.0,water-bottle,phone,-0.273568463656815,-0.015994758398771514,3.9414114952087402,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
60,4.0,moisturizer,phone,0.1941186097590668,0.05505091942580154,0.7385349273681641,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
61,4.066666666666666,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
61,4.066666666666666,water-bottle,phone,-0.2708368739171952,-0.015960327143265007,3.8145127296447754,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
61,4.066666666666666,moisturizer,phone,0.20371225162737905,0.05422807267453855,0.6860923767089844,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
62,4.133333333333334,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
62,4.133333333333334,water-bottle,phone,-0.2688745242944789,-0.015404756796609353,3.6993236541748047,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
62,4.133333333333334,moisturizer,phone,0.21466739130994228,0.05424344109117918,0.5983309745788574,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
63,4.2,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
63,4.2,water-bottle,phone,-0.26945319813683427,-0.014833182676306178,3.7450218200683594,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
63,4.2,moisturizer,phone,0.22505226565983827,0.05488654958636252,0.5606012344360352,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
64,4.266666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
64,4.266666666666667,water-bottle,phone,-0.2732278240079786,-0.014991629531631911,3.224358558654785,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
64,4.266666666666667,moisturizer,phone,0.2335755055450539,0.055926749026735,0.4919581413269043,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
65,4.333333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
65,4.333333333333333,water-bottle,phone,-0.27647525937498674,-0.016746615758472028,3.241466522216797,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
65,4.333333333333333,moisturizer,phone,0.24173150764099782,0.056979327211100106,0.462435245513916,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
66,4.4,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
66,4.4,water-bottle,phone,-0.2795538353212466,-0.019427392311889835,3.1977691650390625,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
66,4.4,moisturizer,phone,0.2479439655141349,0.05624468002395633,0.4783792495727539,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
67,4.466666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
67,4.466666666666667,water-bottle,phone,-0.2795267375180734,-0.022042222770221942,3.2303972244262695,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
67,4.466666666666667,moisturizer,phone,0.25461305041871996,0.056317610778010896,0.4824352264404297,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
68,4.533333333333333,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
68,4.533333333333333,water-bottle,phone,-0.27914014740284093,-0.023509184770910796,3.0939712524414062,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
68,4.533333333333333,moisturizer,phone,0.26066298969101975,0.05595080411884201,0.4742774963378906,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
69,4.6,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
69,4.6,water-bottle,phone,-0.27997150327409526,-0.02464042770720365,3.059781074523926,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
69,4.6,moisturizer,phone,0.2707644300715416,0.05709577542685751,0.44371700286865234,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
70,4.666666666666667,phone,phone,0.0,0.0,0.0,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
70,4.666666666666667,water-bottle,phone,-0.28194561206230645,-0.025811215326659753,3.1250686645507812,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
70,4.666666666666667,moisturizer,phone,0.27846668598802526,0.05747333026920709,0.42399024963378906,RELATIVE_UNVALIDATED_IDENTITY,moving_measured
